title,genres,actors,release_date,imdb_rating,summary,poster_path,wiki_link
Parwana (2003 film),Action | Drama | Romance,Ajay Devgn | Ameesha Patel | Pooja Batra | Jagdeep | Kader Khan | Sadashiv Amrapurkar | Gulshan Grover | Sharat Saxena | Sayaji Shinde | Akhilendra Mishra | Nawab Shah | Ketki Dave | Ssanjay Swaraaj | Gajendra Chouhan,12 September 2003 (India),2.1,A con-man/thief robs a suitcase containing explosives belonging to terrorists.,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Parwana.jpg/220px-Parwana.jpg,https://en.wikipedia.org/wiki/Parwana_(2003_film)
Mumbai Se Aaya Mera Dost,Action | Comedy | Drama,Abhishek Bachchan | Lara Dutta | Chunky Pandey | Aditya Lakhia | Yashpal Sharma | Daya Shankar Pandey | Akhilendra Mishra | Raageshwari | Snehal Lakhia | Ajay Khamosh | Shubro Bhattacharya | Rajendra Gupta,22 August 2003 (India),3.3,Dina Nath is honored by the Indian Government  which is televised live. While receiving the honors  Dina Nath informs the Government that his village is still without electricity  and he is...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Mumbai_Se_Aaya_Mera_Dost.jpg/220px-Mumbai_Se_Aaya_Mera_Dost.jpg,https://en.wikipedia.org/wiki/Mumbai_Se_Aaya_Mera_Dost
Saaya (2003 film),Drama | Fantasy | Mystery,John Abraham | Tara Sharma | Mahima Chaudhry | Zohra Sehgal | Harsh Chhaya | Raj Zutshi | Vishwajeet Pradhan | Rana Jung Bahadur,4 July 2003 (India),5.8,Tanya is a rich woman who is married to another rich man named Vinod. But their lives change by Vinod's death. Tanya than starts falling in love with a doctor named Akash. But Akash is in ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Saaya2003.jpg/220px-Saaya2003.jpg,https://en.wikipedia.org/wiki/Saaya_(2003_film)
Samay: When Time Strikes,Crime | Mystery | Thriller,Sushmita Sen,10 October 2003 (India),6.9,Assistant Commissioner of Police (ACP) Malvika Chauhan battles time to obtain & solve the clues to solve the various murders occurring in the city.,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Samay_when_time_strikes.jpg/220px-Samay_when_time_strikes.jpg,https://en.wikipedia.org/wiki/Samay:_When_Time_Strikes
Nayee Padosan,Comedy,Vikas Kalantri | Anuj Sawhney | Aslam Khan | Mahek Chahal | Rahul Bhat | Vijay Kashyap,6 June 2003 (India),5.4,Three young men  who are all of marriageable age  gets their hopes up on marriage  when a beautiful young woman comes to live in their neighborhood. Her name is Pooja Iyengar. All three of ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Nayee_Padosan.jpg/220px-Nayee_Padosan.jpg,https://en.wikipedia.org/wiki/Nayee_Padosan
Satta (film),Crime | Drama,Raveena Tandon | Atul Kulkarni | Shri Vallabh Vyas | Govind Namdeo | Manoj Joshi | Latesh Shah | Hemendra Bhatia | Sameer Dharmadhikari | Amardeep Jha | Suchitra Pillai | Abhay Bhargav | Abhijit Lahiri | Ajai Rohilla | Manoj Mishra,7 February 2003 (India),6.9,Delhi-based  liberal-thinking  politician-hating Anuradha Sehgal re-locates to Mumbai  finds employment  meets and weds the state's aspiring Chief Minister  Vivek Chauhan. She soon finds ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Satta_%282003%29_film_poster.jpg/220px-Satta_%282003%29_film_poster.jpg,https://en.wikipedia.org/wiki/Satta_(film)
Sssshhh...,Horror | Mystery,Tanishaa Mukerji | Dino Morea | Karan Nath | Gaurav Kapoor | Suvarna Jha | Kushal Punjabi | Tina Choudhary | Alyy Khan | Maya Alagh | Alistair Woodham | Nassar Abdulla | Shaukat Baig | Savita Bajaj | Renuka Chowdhary,24 October 2003 (India),4.3,A serial killer is around which is responsible for taking many lives including that of Malini and her boyfriend. The police are unable to comprehend especially when this killer leaves no evidence at every crime scene.,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Sssshhh-2003.jpg/220px-Sssshhh-2003.jpg,https://en.wikipedia.org/wiki/Sssshhh...
Praan Jaye Par Shaan Na Jaye,Drama,Raveena Tandon | Namrata Shirodkar | Rinke Khanna | Divya Dutta | Dia Mirza | Shweta Menon | Sushmita Sen | Vijay Raaz | Aman Verma | Sachin Khedekar | Sayaji Shinde | Shivaji Satam | Vivek Shauq | Bharat Jadhav,2 May 2003 (India),6.3,Aman Joshi (Aman Verma) is on a research assignment. His subject is the chawl dwellers in Bombay City. He rents a small tenement there and talks to the people living there. He soon gets ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Pran_Jaye_Par_Shaan_Na_Jaye_poster.jpg/220px-Pran_Jaye_Par_Shaan_Na_Jaye_poster.jpg,https://en.wikipedia.org/wiki/Praan_Jaye_Par_Shaan_Na_Jaye
Raghu Romeo,Comedy,Vijay Raaz | Sadiya Siddiqui | Saurabh Shukla | Maria Goretti | Virendra Saxena | Vijay Patkar | Surekha Sikri | Ikhlaq Khan | Anjali Nadig | Neha Sharma | Dhruv Uday Singh | Manu Rishi Chadha | Amit Singh Kharbanda | Brijendra Kala,18 June 2004 (India),6.9,An employee (Vijay Raaz) at a strip club kidnaps his favorite actress (Maria Goretti) to protect her from mob hit men.,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Raghu_Romeo.jpg/220px-Raghu_Romeo.jpg,https://en.wikipedia.org/wiki/Raghu_Romeo
Tere Naam,Action | Drama | Romance,Salman Khan | Bhoomika Chawla | Sachin Khedekar | Savita Prabhune | Ravi Kishan | Anang Desai | Sarfaraz Khan | Darshan Kumaar | Gopal Dutt | Saurabh Dubey | Indira Krishnan | Radhika Chaudhari | Mahendra Verma | Mahima Chaudhry,15 August 2003 (India),7.1,Problems arise when Radhey Mohan  a delinquent falls in love with a girl named Nirjara.,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Tere_Naam_poster.jpg/220px-Tere_Naam_poster.jpg,https://en.wikipedia.org/wiki/Tere_Naam
Tujhe Meri Kasam,Romance,Riteish Deshmukh | Shakti Kapoor | Supriya Karnik | Satish Shah | Anuradha Patel | Raja | Shriya Saran | Jaspal Bhatti | Supriya Pilgaonkar | Sushma Seth | Vijayendra Ghatge | Asrani | Tiku Talsania,3 January 2003 (India),6.5,Rishi and Anju are childhood buddies struggle to find out if they have more than friendship between them.,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Tujhe_Meri_Kasam_poster.jpg/220px-Tujhe_Meri_Kasam_poster.jpg,https://en.wikipedia.org/wiki/Tujhe_Meri_Kasam
Talaash: The Hunt Begins...,Action | Drama | Mystery,Rakhee Gulzar | Akshay Kumar | Kareena Kapoor | Pooja Batra | Kabir Bedi | Raj Babbar | Suresh Oberoi | Shakti Kapoor | Gulshan Grover | Dalip Tahil | Ashish Vidyarthi | Sharat Saxena | Rami Reddy | Arbaaz Ali Khan,3 January 2003 (India),4.7,-The Hunt Begins- For them it was revenge. For him it was a challenge. A timeless ride on a ferocious mission.,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Talaash_The_Hunt_Begins.jpg/220px-Talaash_The_Hunt_Begins.jpg,https://en.wikipedia.org/wiki/Talaash:_The_Hunt_Begins...
Tehzeeb (2003 film),Drama,Shabana Azmi | Urmila Matondkar | Arjun Rampal | Dia Mirza | Rishi Kapoor | Namrata Shirodkar | Satish Kaushik | Rekha Rao | Palak Jain | Diana Hayden | Savita Malpekar | Pawan Chopra | Vishwas Sohoni | Sachin Shinde,21 November 2003 (India),6.0,A singer and her two daughters have a tense reunion after years.,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/TehzeebDVD.jpg/220px-TehzeebDVD.jpg,https://en.wikipedia.org/wiki/Tehzeeb_(2003_film)
