title,genres,actors,imdb_rating,year_of_release
Paap Ko Jalaa Kar Raakh Kar Doonga,crime,dharmendra|govinda|anita raj|farha naaz|kulbhushan kharbanda|tanuja|gita siddharth|iftekhar|k.k. reddy|tej sapru|viju khote|shakti kapoor|sadashiv amrapurkar|anupam kher|,5.7,1988
Pestonjee,comedy|drama,shabana azmi|cyprus dastoor|dady dustoor|anupam kher|kiron kher|farroukh mehta|chandu parkhi|dady sarkari|,7.0,1988
Pushpaka Vimana (1987 film),comedy|romance,kamal haasan|amala akkineni|tinnu anand|narayana p.l.|,8.6,1987
Pyaar Mohabbat,drama|romance,rakhee gulzar|govinda|mandakini|bindu|kader khan|satyendra kapoor|shakti kapoor|rakesh bedi|,4.4,1988
Rihaee (film),drama,vinod khanna|hema malini|naseeruddin shah|neena gupta|reema lagoo|ila arun|mohan agashe|harish patel|achyut potdar|amrita satbhai|mangal rao|meera lakhia|snehal lakhia|charu patel|,7.0,1988
Rukhsat,romance,mithun chakraborty|simi garewal|marc zuber|pradeep kumar|anuradha patel|amrish puri|sona sardesai|rohini hattangadi|,7.2,1988
Saazish (1988 film),action,raaj kumar|mithun chakraborty|dimple kapadia|shakti kapoor|raj babbar|vinod mehra|,5.1,1988
Ram-Avtar,action|drama|romance,sunny deol|anil kapoor|sridevi|shakti kapoor|manik irani|bharat bhushan|subbiraj|yunus parvez|dinesh hingoo|mushtaq merchant|minoo sarkar|philips|nargis|mumtaz|,4.4,1988
Qatil,crime|drama|mystery,aditya pancholi|sangeeta bijlani|shakti kapoor|kiran kumar|raza murad|vikram gokhale|anjana mumtaz|satyendra kapoor|jamuna|pinchoo kapoor|mac mohan|birbal|mohan choti|jaya mathur|,6.5,1988
Pyaar Ka Mandir,drama|family,mithun chakraborty|madhavi|bharat bhushan|nirupa roy|sachin|raj kiran|shoma anand|aruna irani|kader khan|asrani|rajendra nath|shakti kapoor|raza murad|bharat kapoor|,6.5,1988
Rama O Rama,action|drama|romance,raj babbar|kimi katkar|aashif sheikh|pran|raza murad|kiran kumar|gulshan grover|shammi|shiva rindani|vishakha chotu|prabha mathur|shehla khan|murari sharma|rohit|,5.4,1988
Qayamat Se Qayamat Tak,drama|musical|romance,aamir khan|juhi chawla|goga kapoor|dalip tahil|ravindra kapoor|asha sharma|alok nath|raj zutshi|shehnaz kudia|charushila|beena banerjee|reema lagoo|nandita thakur|ahmed khan|,7.5,1988
Sherni,action|drama,birbal|jagdeep|kader khan|ram mohan|lalita pawar|pran|ranjeet|tej sapru|rahul singh|shatrughan sinha|sridevi|,4.7,1988
Sagar Sangam,drama,mithun chakraborty|shatrughan sinha|padmini kolhapure|anita raj|rakhee gulzar|prem chopra|asha parekh|nana patekar|johnny walker|paintal|satyendra kapoor|jagdish raj|mac mohan|vijay arora|,6.6,1988
Sone Pe Suhaaga,action|family,jeetendra|dharmendra|nutan|sridevi|anil kapoor|poonam dhillon|nirupa roy|kimi katkar|shakti kapoor|asrani|kader khan|navin nischol|anupam kher|paresh rawal|,4.8,1988
Shahenshah (1988 film),action|adventure,amitabh bachchan|meenakshi sheshadri|rohini hattangadi|supriya pathak|vijayendra ghatge|sudhir|jagdeep|avtar gill|bandini mishra|dan dhanoa|sharat saxena|yunus parvez|goga kapoor|sameer khakhar|,6.3,1988
Soorma Bhopali,comedy,jagdeep|,6.0,1988
Shiv Shakti,action|crime|drama,shatrughan sinha|govinda|anita raj|kimi katkar|gulshan grover|anupam kher|ashok saraf|tiku talsania|leela mishra|asha sharma|shiva rindani|goga kapoor|yunus parvez|suresh chatwal|,5.6,1988
Salaam Bombay!,crime|drama,shafiq syed|hansa vithal|chanda sharma|raghuvir yadav|anita kanwar|nana patekar|anjaan|amrit patel|murari sharma|ram murthy|sarfuddin qureshi|raju barnad|irshad hashmi|mohanraj babu|,8.0,1988
Vijay (1988 film),action|drama|romance,anil kapoor|rajesh khanna|rishi kapoor|hema malini|meenakshi sheshadri|anupam kher|sonam|raj babbar|moushumi chatterjee|gulshan grover|saeed jaffrey|shakti kapoor|manmohan krishna|arjun sablok|,5.5,1988
Tezaab,action|drama|romance,anil kapoor|madhuri dixit|anupam kher|chunky pandey|kiran kumar|suresh oberoi|mahavir shah|annu kapoor|suparna anand|mandakini|,7.0,1988
The Deceivers (film),adventure|drama|thriller,pierce brosnan|shashi kapoor|saeed jaffrey|helena michell|keith michell|david robb|tariq yunus|jalal agha|gary cady|salim ghouse|neena gupta|nayeem hafizka|bijaya jena|h.n. kalla|,6.1,1988
Tohfa Mohabbat Ka,drama|romance,preeti ganguli|ram govind|govinda|kimi katkar|johnny lever|hema malini|,6.4,1988
Trishagni,drama,nana patekar|pallavi joshi|alok nath|,7.5,1988
Veerana,action|drama|horror,jasmin|hemant birje|sahila chaddha|kulbhushan kharbanda|satish shah|rajesh vivek|roy kamal|vijayendra ghatge|gulshan grover|narendra nath|vijay arora|rajendra nath|rama vij|tina ghai|,6.7,1988
Zulm Ko Jala Doonga,action,naseeruddin shah|sumeet saigal|suparna anand|vasantsena|sadashiv amrapurkar|kiran kumar|,6.0,1988
Woh Phir Aayegi,horror|mystery|thriller,rajesh khanna|farha naaz|moon moon sen|shekhar suman|javed jaffrey|archana puran singh|satyendra kapoor|iftekhar|asha lata|beena banerjee|dan dhanoa|yunus parvez|tiku talsania|dulari|,6.5,1988
Waaris (1988 film),drama,smita patil|amrita singh|raj babbar|kulbhushan kharbanda|amrish puri|raj kiran|navneet nishan|sushma seth|avtar gill|sudhir pandey|javed khan|amrit pal|sardar sohi|anjana mumtaz|,6.7,1988
Waqt Ki Awaz,action|crime|drama,vikas anand|asrani|mithun chakraborty|moushumi chatterjee|gulshan grover|aruna irani|shakti kapoor|kader khan|neelam kothari|shreeram lagoo|vinod mehra|ram mohan|prema narayan|yunus parvez|,6.5,1988
Yateem,action|drama,sunny deol|farha naaz|danny denzongpa|amrish puri|sujata mehta|,6.3,1988
